Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
WMT;Wal-Mart Stores;reports;Consumer Staples;30;Hypermarkets & Super Centers;30101040;Bentonville, Arkansas;31.08.1982;104169
WBA;Walgreens Boots Alliance;reports;Consumer Staples;30;Drug Retail;30101010;Deerfield, Illinois;31.12.1979;1618921
DIS;The Walt Disney Company;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Burbank, California;30.06.1976;1001039
WM;Waste Management Inc.;reports;Industrials;20;Environmental & Facilities Services;20201050;Houston, Texas;;823768
WAT;Waters Corporation;reports;Health Care;35;Health Care Distributors;35102010;Milford, Massachusetts;;1000697
WEC;Wec Energy Group Inc;reports;Utilities;55;Electric Utilities;55101010;Milwaukee, Wisconsin;31.10.2008;783325
WFC;Wells Fargo;reports;Financials;40;Diversified Banks;40101010;San Francisco, California;30.06.1976;72971
HCN;Welltower Inc.;reports;Real Estate;60;Health Care REITs;60101050;Toledo, Ohio;30.01.2009;766704
WDC;Western Digital;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Irvine, California;01.07.2009;106040
WU;Western Union Co;reports;Information Technology;45;Internet Software & Services;45101010;Englewood, Colorado;;1365135
WRK;WestRock Company;reports;Materials;15;Paper Packaging;15103020;Richmond, Virginia;;1636023
WY;Weyerhaeuser Corp.;reports;Real Estate;60;Specialized REITs;60101080;Federal Way, Washington;;106535
WHR;Whirlpool Corp.;reports;Consumer Discretionary;25;Household Appliances;25201040;Benton Harbor, Michigan;;106640
WMB;Williams Cos.;reports;Energy;10;Oil & Gas Storage & Transportation;10102040;Tulsa, Oklahoma;31.03.1975;107263
WLTW;Willis Towers Watson;reports;Financials;40;Insurance Brokers;40301010;London, United Kingdom;05.01.2016;1140536
WYN;Wyndham Worldwide;reports;Consumer Discretionary;25;Hotels, Resorts & Cruise Lines;25301020;Parsippany, New Jersey;;1361658
WYNN;Wynn Resorts Ltd;reports;Consumer Discretionary;25;Casinos & Gaming;25301010;Paradise, Nevada;14.11.2008;1174922
XEL;Xcel Energy Inc;reports;Utilities;55;Multi-Utilities;55103010;Minneapolis, Minnesota;;72903
XRX;Xerox Corp.;reports;Information Technology;45;Technology Hardware, Storage & Peripherals;45202030;Norwalk, Connecticut;;108772
XLNX;Xilinx Inc;reports;Information Technology;45;Semiconductors;45301020;San Jose, California;08.11.1999;743988
XL;XL Capital;reports;Financials;40;Property & Casualty Insurance;40301040;Hamilton, Bermuda;;875159
XYL;Xylem Inc.;reports;Industrials;20;Industrial Machinery;20106020;White Plains, New York;01.11.2011;1524472
YUM;Yum! Brands Inc;reports;Consumer Discretionary;25;Restaurants;25301040;Louisville, Kentucky;06.10.1997;1041061
ZBH;Zimmer Biomet Holdings;reports;Health Care;35;Health Care Equipment;35101010;Warsaw, Indiana;07.08.2001;1136869
ZION;Zions Bancorp;reports;Financials;40;Regional Banks;40101015;Salt Lake City, Utah;;109380
ZTS;Zoetis;reports;Health Care;35;Pharmaceuticals;35202010;Florham Park, New Jersey;21.06.2013;1555280
