Ticker symbol;Security;SEC filings;GICS Sector;GICS Code;GICS Sub Industry;GICS Sub-Code;Address of Headquarters;Date first added;CIK
CNC;Centene Corporation;reports;Health Care;35;Managed Health Care;35102030;St Louis, Missouri;30.03.2016;1071739
CNP;CenterPoint Energy;reports;Utilities;55;Multi-Utilities;55103010;Houston, Texas;31.07.1985;1130310
CTL;CenturyLink Inc;reports;Telecommunication Services;50;Integrated Telecommunication Services;50101020;Monroe, Louisiana;;18926
CERN;Cerner;reports;Health Care;35;Health Care Technology;35103010;North Kansas City, Missouri;30.04.2010;804753
CF;CF Industries Holdings Inc;reports;Materials;15;Fertilizers & Agricultural Chemicals;15101030;Deerfield, Illinois;27.08.2008;1324404
SCHW;Charles Schwab Corporation;reports;Financials;40;Investment Banking & Brokerage;40203020;San Francisco, California;;316709
CHTR;Charter Communications;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Stamford, Connecticut;08.09.2016;1091667
CHK;Chesapeake Energy;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Oklahoma City, Oklahoma;;895126
CVX;Chevron Corp.;reports;Energy;10;Integrated Oil & Gas;10102010;San Ramon, California;;93410
CMG;Chipotle Mexican Grill;reports;Consumer Discretionary;25;Restaurants;25301040;Denver, Colorado;28.04.2011;1058090
CB;Chubb Limited;reports;Financials;40;Property & Casualty Insurance;40301040;Zurich, Switzerland;15.07.2010;896159
CHD;Church & Dwight;reports;Consumer Staples;30;Household Products;30301010;Ewing, New Jersey;29.12.2015;313927
CI;CIGNA Corp.;reports;Health Care;35;Managed Health Care;35102030;Philadelphia, Pennsylvania;30.06.1976;701221
XEC;Cimarex Energy;reports;Energy;10;Oil & Gas Exploration & Production;10102020;Denver, Colorado;21.06.2014;1168054
CINF;Cincinnati Financial;reports;Financials;40;Property & Casualty Insurance;40301040;Fairfield, Ohio;;20286
CTAS;Cintas Corporation;reports;Industrials;20;Diversified Support Services;20201070;Mason, Ohio;01.03.2001;723254
CSCO;Cisco Systems;reports;Information Technology;45;Communications Equipment;45201020;San Jose, California;01.12.1993;858877
C;Citigroup Inc.;reports;Financials;40;Diversified Banks;40101010;New York, New York;31.05.1988;831001
CFG;Citizens Financial Group;reports;Financials;40;Regional Banks;40101015;Providence, Rhode Island;29.01.2016;759944
CTXS;Citrix Systems;reports;Information Technology;45;Internet Software & Services;45101010;Fort Lauderdale, Florida;;877890
CLX;The Clorox Company;reports;Consumer Staples;30;Household Products;30301010;Oakland, California;31.03.1969;21076
CME;CME Group Inc.;reports;Financials;40;Financial Exchanges & Data;40203040;Chicago, Illinois;;1156375
CMS;CMS Energy;reports;Utilities;55;Multi-Utilities;55103010;Jackson, Michigan;;811156
KO;Coca-Cola Company (The);reports;Consumer Staples;30;Soft Drinks;30201030;Atlanta, Georgia;;21344
CTSH;Cognizant Technology Solutions;reports;Information Technology;45;IT Consulting & Other Services;45102010;Teaneck, New Jersey;17.11.2006;1058290
CL;Colgate-Palmolive;reports;Consumer Staples;30;Household Products;30301010;New York, New York;;21665
CMCSA;Comcast Corp.;reports;Consumer Discretionary;25;Cable & Satellite;25401025;Philadelphia, Pennsylvania;18.09.2015;1166691
